key,lat,lon
ger,54.916626, 9.941567
ger,54.022838, 11.084145
ger,54.663249, 13.632973
ger,50.919204, 14.951332
ger,50.193320, 12.402504
ger,48.649855, 13.984536
ger,48.183188, 12.798012
ger,47.593824, 13.061684
ger,47.356200, 9.853676
ger,47.712234, 7.656411
ger,48.997047, 8.227700
ger,49.370459, 6.557778
ger,50.277647, 6.338051
ger,51.742911, 6.074379
ger,52.068259, 7.041176
ger,53.789842, 7.436684
ger,53.867652, 8.842934
ger,54.891360, 8.447426
usa,48.811934, -122.879855
usa,48.869779, -95.106417
usa,47.877308, -89.920870
usa,48.171220, -88.426730
usa,45.218427, -82.098605
usa,41.842564, -82.713839
usa,44.970245, -71.200167
usa,47.105285, -69.178683
usa,44.720984, -66.717745
usa,43.138679, -70.409152
usa,41.382585, -69.969698
usa,40.385893, -73.748995
usa,36.956044, -76.034152
usa,35.395326, -75.594698
usa,31.209990, -81.395480
usa,26.516794, -79.813448
usa,24.933276, -80.692355
usa,30.075756, -83.680636
usa,29.312275, -89.920870
usa,29.923525, -93.963839
usa,27.768142, -97.040011
usa,25.727671, -96.864230
usa,26.280617, -98.973605
usa,29.771060, -101.698214
usa,28.928370, -103.104464
usa,31.734715, -106.620089
usa,31.285130, -108.202120
usa,31.435232, -110.750948
usa,32.405016, -114.881808
usa,32.701345, -116.903292
usa,34.531004, -118.133761
usa,34.675690, -120.331027
usa,40.050331, -124.110323
usa,44.845749, -123.846652
usa,48.521704, -124.63766
usa,48.229801, -123.582980
